cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47
0.0,0.0,517.3972,827.8356,827.8356,827.8356,0.0,0.0,620.8767,827.8356,827.8356,827.8356,155.2192,310.4384,569.137,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356,827.8356
0.0,0.0,206.9605,827.8419,827.8419,827.8419,0.0,0.0,465.6611,827.8419,827.8419,827.8419,103.4802,206.9605,724.3617,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419,827.8419
0.0,0.0,258.6955,827.8256,827.8256,827.8256,0.0,0.0,517.391,827.8256,827.8256,827.8256,310.4346,0.0,620.8692,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256,827.8256
0.0,0.0,206.9466,827.7866,827.7866,827.7866,0.0,0.0,569.1033,827.7866,827.7866,827.7866,103.4733,103.4733,724.3132,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866,827.7866
0.0,0.0,413.8624,827.7248,827.7248,827.7248,0.0,0.0,569.0608,827.7248,827.7248,827.7248,51.7328,0.0,775.992,827.7248,827.7248,827.7248,827.7248,775.992,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248,827.7248
0.0,0.0,362.0927,827.6405,827.6405,827.6405,0.0,0.0,465.5478,827.6405,827.6405,827.6405,51.72753,51.72753,672.4579,827.6405,827.6405,827.6405,827.6405,775.913,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405,827.6405
0.0,0.0,517.2084,827.5334,827.5334,827.5334,0.0,0.0,362.0459,827.5334,827.5334,827.5334,51.72084,51.72084,672.3708,827.5334,827.5334,827.5334,775.8126,775.8126,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334,827.5334
0.0,0.0,413.7018,827.4035,827.4035,827.4035,0.0,0.0,568.8399,827.4035,827.4035,827.4035,0.0,0.0,827.4035,827.4035,827.4035,827.4035,620.5526,723.9781,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035,827.4035
0.0,0.0,517.0319,827.251,827.251,827.251,0.0,0.0,620.4383,827.251,827.251,827.251,0.0,0.0,723.8447,827.251,827.251,827.251,775.5479,672.1415,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251,827.251
0.0,0.0,361.8457,827.0759,827.0759,827.0759,0.0,0.0,568.6147,827.0759,827.0759,827.0759,0.0,51.69225,775.3837,827.0759,827.0759,827.0759,671.9992,620.3069,775.3837,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759,827.0759
