Num_Particles,Inertia_Weight_w,Max_Velocity_v_max,Error_W,Time_s,Score
3,0.3,0.25,0.06704176426284174,20.635340452194214,21.305758094822632
4,0.3,0.05,0.07075626329040811,23.25021743774414,23.957780070648223
5,0.3,0.05,0.21164947226148811,25.346640586853027,27.46313530946791
4,0.3,0.1,0.07066581051460948,27.0871684551239,27.793826560269995
5,0.7,0.05,0.21164947226148811,26.874165773391724,28.990660496006605
4,0.7,0.05,0.5259495942041816,23.797515392303467,29.057011334345283
4,0.5,0.05,0.06801397388237736,29.647372722625732,30.327512461449505
5,0.5,0.1,0.21164947344240304,28.4162917137146,30.53278644813863
3,0.3,0.15,0.9007943950330363,22.09269618988037,31.100640140210736
5,0.7,0.1,0.21164947344240304,29.35012650489807,31.4666212393221
3,0.5,0.15,0.3049713057267904,28.65002417564392,31.699737232911826
3,0.7,0.25,0.30169116630260245,28.79633617401123,31.813247837037256
5,0.3,0.1,0.1599549612677779,30.261748790740967,31.861298403418747
5,0.5,0.05,0.07227253488866243,35.1768434047699,35.899568753656524
3,0.7,0.15,1.5213089382431555,23.040050983428955,38.25314036586051
4,0.7,0.1,0.21569592984526528,36.98189640045166,39.138855698904315
4,0.5,0.1,0.0730647796984556,38.573209285736084,39.30385708272064
4,0.3,0.15,0.7755339764616664,36.336628913879395,44.09196867849606
5,0.3,0.15,0.779049242955748,37.12120342254639,44.91169585210387
5,0.5,0.25,0.7765190607835137,37.3492329120636,45.114423519898736
5,0.3,0.25,0.7789580115937712,38.417144536972046,46.206724652909756
5,0.5,0.15,0.7852310528654071,39.081156492233276,46.93346702088735
4,0.3,0.25,0.7758102751097518,39.706812143325806,47.46491489442332
4,0.5,0.15,0.0724447064108027,47.433847188949585,48.15829425305761
4,0.5,0.25,0.07248320214287556,48.791969776153564,49.51680179758232
5,0.7,0.25,0.7698570995618231,45.575061082839966,53.2736320784582
4,0.7,0.15,0.9075701905957937,45.61091661453247,54.686618520490406
4,0.7,0.25,0.04115945447013658,56.523977279663086,56.93557182436445
5,0.7,0.15,0.797511570911612,53.21965479850769,61.19477050762381
3,0.3,0.1,5.796980296109864,14.467601776123047,72.4374047372217
3,0.3,0.05,5.800676367466322,15.55129599571228,73.55805967037551
3,0.7,0.05,5.848927321318599,15.67584228515625,74.16511549834223
3,0.5,0.1,5.800846661961298,17.282047271728516,75.2905138913415
3,0.7,0.1,6.302978635590271,15.647482633590698,78.6772689894934
3,0.5,0.05,6.506115837943373,15.414510488510132,80.47566886794385
3,0.5,0.25,12.222769123718246,13.430284976959229,135.65797621414168
